Date	Time	V_inf	B_ksi	B_etta
2021-Feb-03 00:17:57.593	170400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 00:27:57.593	171000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 00:37:57.593	171600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 00:47:57.593	172200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 00:57:57.593	172800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 01:07:57.593	173400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 01:17:57.593	174000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 01:27:57.593	174600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 01:37:57.593	175200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 01:47:57.593	175800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 01:57:57.593	176400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 02:07:57.593	177000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 02:17:57.593	177600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 02:27:57.593	178200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 02:37:57.593	178800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 02:47:57.593	179400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 02:57:57.593	180000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 03:07:57.593	180600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 03:17:57.593	181200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 03:27:57.593	181800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 03:37:57.593	182400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 03:47:57.593	183000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 03:57:57.593	183600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 04:07:57.593	184200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 04:17:57.593	184800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 04:27:57.593	185400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 04:37:57.593	186000	-nan(ind)	-nan(ind)	-nan(ind)
